,A,reg_number,date,values,mpal,stops
399,"Razem 11,4 0 3897 / 5078 6 491,47 PLN",TK1503U,14-12-23,"['11,4', '0', '3897', '/', '5078', '6', '491,47', 'PLN']","11,4",6
425,"Razem 17,9 0 5760 / 6450 17 837,87 PLN",TK1503U,14-12-23,"['17,9', '0', '5760', '/', '6450', '17', '837,87', 'PLN']","17,9",17
443,"Razem 17,9 0 6277 / 7886 13 857,83 PLN",TK1503U,15-12-23,"['17,9', '0', '6277', '/', '7886', '13', '857,83', 'PLN']","17,9",13
481,"Razem 20,1 0 6698 / 9005 4 633,62 PLN",TK1503U,15-12-23,"['20,1', '0', '6698', '/', '9005', '4', '633,62', 'PLN']","20,1",4
498,"Razem 10,2 0 2340 / 4081 5 401,78 PLN",TK1503U,18-12-23,"['10,2', '0', '2340', '/', '4081', '5', '401,78', 'PLN']","10,2",5
510,"Razem 17,6 0 5171 / 7344 10 749,86 PLN",TK1503U,18-12-23,"['17,6', '0', '5171', '/', '7344', '10', '749,86', 'PLN']","17,6",10
553,"Razem 17,7 0 4479 / 7858 8 691,17 PLN",TK1503U,19-12-23,"['17,7', '0', '4479', '/', '7858', '8', '691,17', 'PLN']","17,7",8
572,"Razem 18,0 0 5657 / 7285 9 717,77 PLN",TK1503U,19-12-23,"['18,0', '0', '5657', '/', '7285', '9', '717,77', 'PLN']","18,0",9
592,"Razem 16,5 0 5382 / 7835 4 529,67 PLN",TK1503U,20-12-23,"['16,5', '0', '5382', '/', '7835', '4', '529,67', 'PLN']","16,5",4
617,"Razem 16,3 0 5106 / 7586 14 856,26 PLN",TK1503U,20-12-23,"['16,3', '0', '5106', '/', '7586', '14', '856,26', 'PLN']","16,3",14
637,"Razem 10,9 0 3022 / 5258 6 503,01 PLN",TK1503U,21-12-23,"['10,9', '0', '3022', '/', '5258', '6', '503,01', 'PLN']","10,9",6
695,"Razem 17,5 0 5003 / 6789 11 748,64 PLN",TK1503U,21-12-23,"['17,5', '0', '5003', '/', '6789', '11', '748,64', 'PLN']","17,5",11
711,"Razem 10,0 0 3202 / 5522 4 449,40 PLN",TK1503U,22-12-23,"['10,0', '0', '3202', '/', '5522', '4', '449,40', 'PLN']","10,0",4
728,"Razem 17,5 0 2203 / 3144 12 452,74 PLN",TK1503U,22-12-23,"['17,5', '0', '2203', '/', '3144', '12', '452,74', 'PLN']","17,5",12
854,"Razem 5,0 0 2504 / 3157 4 260,48 PLN",TK1503U,27-12-23,"['5,0', '0', '2504', '/', '3157', '4', '260,48', 'PLN']","5,0",4
865,"Razem 15,7 0 3280 / 3802 10 453,34 PLN",TK1503U,27-12-23,"['15,7', '0', '3280', '/', '3802', '10', '453,34', 'PLN']","15,7",10
933,"Razem 6,4 0 1525 / 3348 3 301,11 PLN",TK1503U,28-12-23,"['6,4', '0', '1525', '/', '3348', '3', '301,11', 'PLN']","6,4",3
954,"Razem 13,2 0 3371 / 4726 11 571,88 PLN",TK1503U,28-12-23,"['13,2', '0', '3371', '/', '4726', '11', '571,88', 'PLN']","13,2",11
1030,"Razem 3,0 0 1965 / 1965 2 158,97 PLN",TK1503U,29-12-23,"['3,0', '0', '1965', '/', '1965', '2', '158,97', 'PLN']","3,0",2
1055,"Razem 12,4 0 3680 / 4836 8 493,81 PLN",TK3918T,01-12-23,"['12,4', '0', '3680', '/', '4836', '8', '493,81', 'PLN']","12,4",8
1074,"Razem 12,7 0 2983 / 4462 10 516,68 PLN",TK3918T,01-12-23,"['12,7', '0', '2983', '/', '4462', '10', '516,68', 'PLN']","12,7",10
1096,"Razem 14,9 0 6301 / 7633 8 676,86 PLN",TK3918T,04-12-23,"['14,9', '0', '6301', '/', '7633', '8', '676,86', 'PLN']","14,9",8
1119,"Razem 14,3 0 4980 / 6920 10 636,78 PLN",TK3918T,04-12-23,"['14,3', '0', '4980', '/', '6920', '10', '636,78', 'PLN']","14,3",10
1140,"Razem 15,3 0 5575 / 7644 7 716,66 PLN",TK3918T,05-12-23,"['15,3', '0', '5575', '/', '7644', '7', '716,66', 'PLN']","15,3",7
1158,"Razem 15,2 0 3165 / 6320 9 619,07 PLN",TK3918T,05-12-23,"['15,2', '0', '3165', '/', '6320', '9', '619,07', 'PLN']","15,2",9
1178,"Razem 14,3 0 4430 / 6260 7 552,17 PLN",TK3918T,06-12-23,"['14,3', '0', '4430', '/', '6260', '7', '552,17', 'PLN']","14,3",7
1199,"Razem 16,3 0 5620 / 7718 12 788,99 PLN",TK3918T,06-12-23,"['16,3', '0', '5620', '/', '7718', '12', '788,99', 'PLN']","16,3",12
1223,"Razem 14,3 0 6315 / 6616 7 578,99 PLN",TK3918T,07-12-23,"['14,3', '0', '6315', '/', '6616', '7', '578,99', 'PLN']","14,3",7
1245,"Razem 14,0 0 4558 / 6503 10 660,16 PLN",TK3918T,07-12-23,"['14,0', '0', '4558', '/', '6503', '10', '660,16', 'PLN']","14,0",10
1263,"Razem 11,0 0 4117 / 5071 9 536,33 PLN",TK3918T,08-12-23,"['11,0', '0', '4117', '/', '5071', '9', '536,33', 'PLN']","11,0",9
